State,Race,Gender,Year,Ages,Crude Death Rate (Per 100k Persons)
Arizona,White,Male,2015,45-54 years,8.6
Arizona,White,Male,2016,20-24 years,14.2
Arizona,White,Male,2016,25-34 years,16.9
Arizona,White,Male,2016,35-44 years,13.6
Arizona,White,Male,2016,45-54 years,9.4
Arkansas,White,Male,2004,35-44 years,7.6
Arkansas,White,Male,2005,35-44 years,7.6
Arkansas,White,Male,2007,45-54 years,6.1
Arkansas,White,Male,2008,25-34 years,9.3
Arkansas,White,Male,2010,25-34 years,8
Arkansas,White,Male,2011,25-34 years,10.5
Arkansas,White,Male,2012,25-34 years,7.9
Arkansas,White,Male,2015,25-34 years,7.2
Arkansas,White,Male,2016,25-34 years,8.4
California,Black or African American,Female,1999,35-44 years,11
California,Black or African American,Female,1999,45-54 years,11.6
California,Black or African American,Female,2000,35-44 years,5.2
California,Black or African American,Female,2001,35-44 years,4.7
California,Black or African American,Female,2002,35-44 years,10.5
California,Black or African American,Female,2002,45-54 years,16.3
California,Black or African American,Female,2003,35-44 years,9.6
California,Black or African American,Female,2003,45-54 years,12.9
California,Black or African American,Female,2004,35-44 years,6.8
California,Black or African American,Female,2004,45-54 years,16
California,Black or African American,Female,2005,35-44 years,11.4
California,Black or African American,Female,2005,45-54 years,10.6
California,Black or African American,Female,2006,35-44 years,11
California,Black or African American,Female,2006,45-54 years,12.6
California,Black or African American,Female,2007,45-54 years,9.1
California,Black or African American,Female,2008,35-44 years,5.3
California,Black or African American,Female,2008,45-54 years,11.5
California,Black or African American,Female,2009,45-54 years,10.3
California,Black or African American,Female,2010,45-54 years,12.3
California,Black or African American,Female,2011,45-54 years,9.2
California,Black or African American,Female,2012,45-54 years,11.3
California,Black or African American,Female,2013,35-44 years,5.6
California,Black or African American,Female,2013,45-54 years,13.5
California,Black or African American,Female,2014,45-54 years,8.4
California,Black or African American,Female,2015,45-54 years,11.7
California,Black or African American,Female,2016,45-54 years,9.7
California,Black or African American,Male,1999,25-34 years,6.2
California,Black or African American,Male,1999,35-44 years,11.2
California,Black or African American,Male,1999,45-54 years,30.6
California,Black or African American,Male,2000,35-44 years,12.2
California,Black or African American,Male,2000,45-54 years,25.8
California,Black or African American,Male,2001,35-44 years,7.8
California,Black or African American,Male,2001,45-54 years,18.9
California,Black or African American,Male,2002,25-34 years,7.1
California,Black or African American,Male,2002,35-44 years,16.6
California,Black or African American,Male,2002,45-54 years,36.3
California,Black or African American,Male,2003,35-44 years,13.8
California,Black or African American,Male,2003,45-54 years,26.3
California,Black or African American,Male,2004,35-44 years,12.5
California,Black or African American,Male,2004,45-54 years,28.5
California,Black or African American,Male,2005,25-34 years,5.6
California,Black or African American,Male,2005,35-44 years,14.1
California,Black or African American,Male,2005,45-54 years,36.9
California,Black or African American,Male,2006,25-34 years,5.6
California,Black or African American,Male,2006,35-44 years,12.3
California,Black or African American,Male,2006,45-54 years,25.1
California,Black or African American,Male,2007,35-44 years,8.4
California,Black or African American,Male,2007,45-54 years,32.1
California,Black or African American,Male,2008,25-34 years,6
California,Black or African American,Male,2008,35-44 years,8
California,Black or African American,Male,2008,45-54 years,16.7
California,Black or African American,Male,2009,35-44 years,5.5
California,Black or African American,Male,2009,45-54 years,20.6
California,Black or African American,Male,2010,45-54 years,15.1
California,Black or African American,Male,2011,45-54 years,17.8
California,Black or African American,Male,2012,35-44 years,5.7
California,Black or African American,Male,2012,45-54 years,10.6
California,Black or African American,Male,2013,45-54 years,11.8
California,Black or African American,Male,2014,25-34 years,4.7
California,Black or African American,Male,2014,45-54 years,12.9
California,Black or African American,Male,2015,35-44 years,5.7
California,Black or African American,Male,2015,45-54 years,10.9
California,Black or African American,Male,2016,25-34 years,5.2
California,Black or African American,Male,2016,45-54 years,11
California,White,Female,1999,25-34 years,1.3
California,White,Female,1999,35-44 years,3.7
California,White,Female,1999,45-54 years,3.1
California,White,Female,2000,25-34 years,1.3
California,White,Female,2000,35-44 years,2.3
California,White,Female,2000,45-54 years,2.3
California,White,Female,2001,35-44 years,1.6
California,White,Female,2001,45-54 years,1.7
California,White,Female,2002,25-34 years,1.4
California,White,Female,2002,35-44 years,3.7
California,White,Female,2002,45-54 years,4.9
California,White,Female,2003,25-34 years,1.4
California,White,Female,2003,35-44 years,3
California,White,Female,2003,45-54 years,4
California,White,Female,2004,20-24 years,1.1
California,White,Female,2004,25-34 years,1.4
California,White,Female,2004,35-44 years,3.9
California,White,Female,2004,45-54 years,4.4
California,White,Female,2005,20-24 years,1.1
California,White,Female,2005,25-34 years,1.6
California,White,Female,2005,35-44 years,2.8
California,White,Female,2005,45-54 years,5.2
California,White,Female,2006,25-34 years,1.7
California,White,Female,2006,35-44 years,2.7
California,White,Female,2006,45-54 years,6
California,White,Female,2007,20-24 years,1.3
California,White,Female,2007,25-34 years,1.9
California,White,Female,2007,35-44 years,3.7
California,White,Female,2007,45-54 years,6.7
California,White,Female,2008,20-24 years,1.2
California,White,Female,2008,25-34 years,1.6
California,White,Female,2008,35-44 years,3
California,White,Female,2008,45-54 years,6.5
California,White,Female,2009,20-24 years,1.3
California,White,Female,2009,25-34 years,1.7
California,White,Female,2009,35-44 years,2.8
California,White,Female,2009,45-54 years,7.1
California,White,Female,2010,20-24 years,1.4
California,White,Female,2010,25-34 years,2.2
California,White,Female,2010,35-44 years,3.4
California,White,Female,2010,45-54 years,6
California,White,Female,2011,20-24 years,1.9
California,White,Female,2011,25-34 years,1.4
California,White,Female,2011,35-44 years,2.8
California,White,Female,2011,45-54 years,4.5
California,White,Female,2012,20-24 years,1.4
California,White,Female,2012,25-34 years,2
California,White,Female,2012,35-44 years,1.9
California,White,Female,2012,45-54 years,4.9
California,White,Female,2013,20-24 years,1.5
California,White,Female,2013,25-34 years,1.3
California,White,Female,2013,35-44 years,1.8
California,White,Female,2013,45-54 years,3.6
California,White,Female,2014,20-24 years,1.3
California,White,Female,2014,25-34 years,1.7
California,White,Female,2014,35-44 years,1.8
California,White,Female,2014,45-54 years,4.3
California,White,Female,2015,20-24 years,1.6
California,White,Female,2015,25-34 years,1.8
California,White,Female,2015,35-44 years,2.4
California,White,Female,2015,45-54 years,3.5
California,White,Female,2016,20-24 years,1.4
California,White,Female,2016,25-34 years,1.4
California,White,Female,2016,35-44 years,1.4
California,White,Female,2016,45-54 years,2.8
California,White,Male,1999,20-24 years,5.2
California,White,Male,1999,25-34 years,8
California,White,Male,1999,35-44 years,15.2
California,White,Male,1999,45-54 years,14.8
California,White,Male,2000,20-24 years,1.8
California,White,Male,2000,25-34 years,5.2
California,White,Male,2000,35-44 years,11
California,White,Male,2000,45-54 years,9.7
California,White,Male,2001,20-24 years,1.5
California,White,Male,2001,25-34 years,2.5
California,White,Male,2001,35-44 years,5.7
California,White,Male,2001,45-54 years,6.5
California,White,Male,2002,20-24 years,3.4
California,White,Male,2002,25-34 years,5.5
California,White,Male,2002,35-44 years,10.5
California,White,Male,2002,45-54 years,14.7
California,White,Male,2003,15-19 years,1.2
California,White,Male,2003,20-24 years,3.2
California,White,Male,2003,25-34 years,4.9
California,White,Male,2003,35-44 years,10.9
California,White,Male,2003,45-54 years,13.6
California,White,Male,2004,15-19 years,1.2
California,White,Male,2004,20-24 years,4.1
California,White,Male,2004,25-34 years,5.6
California,White,Male,2004,35-44 years,8.8
California,White,Male,2004,45-54 years,12
California,White,Male,2005,20-24 years,4.1
California,White,Male,2005,25-34 years,5.2
California,White,Male,2005,35-44 years,6.5
California,White,Male,2005,45-54 years,11.2
California,White,Male,2006,15-19 years,1.4
California,White,Male,2006,20-24 years,5.1
California,White,Male,2006,25-34 years,5.6
California,White,Male,2006,35-44 years,9.3
California,White,Male,2006,45-54 years,13.9
California,White,Male,2007,15-19 years,2.5
California,White,Male,2007,20-24 years,5.2
California,White,Male,2007,25-34 years,6.2
California,White,Male,2007,35-44 years,9.4
California,White,Male,2007,45-54 years,14.4
California,White,Male,2008,15-19 years,1.9
California,White,Male,2008,20-24 years,7.7
California,White,Male,2008,25-34 years,6.2
California,White,Male,2008,35-44 years,8.6
California,White,Male,2008,45-54 years,13.2
California,White,Male,2009,15-19 years,2
California,White,Male,2009,20-24 years,5.7
California,White,Male,2009,25-34 years,7.5
California,White,Male,2009,35-44 years,9.6
California,White,Male,2009,45-54 years,12.3
California,White,Male,2010,15-19 years,2.5
California,White,Male,2010,20-24 years,6.8
California,White,Male,2010,25-34 years,7.1
California,White,Male,2010,35-44 years,7.7
California,White,Male,2010,45-54 years,9.9
California,White,Male,2011,15-19 years,1.6
California,White,Male,2011,20-24 years,6.4
California,White,Male,2011,25-34 years,8.4
California,White,Male,2011,35-44 years,7
California,White,Male,2011,45-54 years,11.1
California,White,Male,2012,15-19 years,1.6
California,White,Male,2012,20-24 years,6.3
California,White,Male,2012,25-34 years,6.9
California,White,Male,2012,35-44 years,5.9
California,White,Male,2012,45-54 years,7.6
California,White,Male,2013,15-19 years,1.6
California,White,Male,2013,20-24 years,5.7
California,White,Male,2013,25-34 years,8.5
California,White,Male,2013,35-44 years,7
California,White,Male,2013,45-54 years,7.9
California,White,Male,2014,15-19 years,1.8
California,White,Male,2014,20-24 years,5.5
California,White,Male,2014,25-34 years,7.3
California,White,Male,2014,35-44 years,6
California,White,Male,2014,45-54 years,7.7
California,White,Male,2015,15-19 years,1.4
California,White,Male,2015,20-24 years,4.8
California,White,Male,2015,25-34 years,6.1
California,White,Male,2015,35-44 years,6.6
California,White,Male,2015,45-54 years,6.9
California,White,Male,2016,15-19 years,1.4
California,White,Male,2016,20-24 years,6.9
California,White,Male,2016,25-34 years,6.4
California,White,Male,2016,35-44 years,5.4
California,White,Male,2016,45-54 years,5.5
Colorado,Black or African American,Male,2005,45-54 years,74.9
Colorado,Black or African American,Male,2006,45-54 years,71.9
Colorado,Black or African American,Male,2008,45-54 years,60.9
Colorado,White,Female,1999,25-34 years,3.9
Colorado,White,Female,1999,35-44 years,3.6
Colorado,White,Female,1999,45-54 years,4.3
Colorado,White,Female,2000,35-44 years,3.9
Colorado,White,Female,2000,45-54 years,3.9
Colorado,White,Female,2001,35-44 years,3
Colorado,White,Female,2001,45-54 years,4.6
Colorado,White,Female,2002,35-44 years,4.9
Colorado,White,Female,2002,45-54 years,4.9
Colorado,White,Female,2003,35-44 years,6.5
Colorado,White,Female,2003,45-54 years,4.5
Colorado,White,Female,2004,35-44 years,5.7
Colorado,White,Female,2004,45-54 years,4.1
Colorado,White,Female,2005,25-34 years,3.8
Colorado,White,Female,2005,35-44 years,5.1
Colorado,White,Female,2005,45-54 years,8
Colorado,White,Female,2006,25-34 years,7.9
Colorado,White,Female,2006,35-44 years,7.3
Colorado,White,Female,2006,45-54 years,11.8
Colorado,White,Female,2007,25-34 years,5.8
Colorado,White,Female,2007,35-44 years,9
Colorado,White,Female,2007,45-54 years,11
Colorado,White,Female,2008,25-34 years,4
Colorado,White,Female,2008,35-44 years,4.2
Colorado,White,Female,2008,45-54 years,9.1
Colorado,White,Female,2009,25-34 years,6.1
Colorado,White,Female,2009,35-44 years,7.2
Colorado,White,Female,2009,45-54 years,8.2
Colorado,White,Female,2010,25-34 years,5.1
Colorado,White,Female,2010,35-44 years,6.9
Colorado,White,Female,2010,45-54 years,7.6
Colorado,White,Female,2011,25-34 years,6.5
Colorado,White,Female,2011,35-44 years,7.9
Colorado,White,Female,2011,45-54 years,10.7
Colorado,White,Female,2012,25-34 years,4.9
Colorado,White,Female,2012,35-44 years,6.5
Colorado,White,Female,2012,45-54 years,10.3
Colorado,White,Female,2013,25-34 years,4.8
Colorado,White,Female,2013,35-44 years,8.4
Colorado,White,Female,2013,45-54 years,8.3
Colorado,White,Female,2014,25-34 years,8
Colorado,White,Female,2014,35-44 years,4.8
Colorado,White,Female,2014,45-54 years,8.7
Colorado,White,Female,2015,25-34 years,5.5
Colorado,White,Female,2015,35-44 years,7.3
Colorado,White,Female,2015,45-54 years,7.8
Colorado,White,Female,2016,25-34 years,7.3
Colorado,White,Female,2016,35-44 years,6.6
Colorado,White,Female,2016,45-54 years,5.6
Colorado,White,Male,1999,25-34 years,8.7
Colorado,White,Male,1999,35-44 years,11.9
Colorado,White,Male,1999,45-54 years,10
Colorado,White,Male,2000,25-34 years,7.6
Colorado,White,Male,2000,35-44 years,13.2
Colorado,White,Male,2000,45-54 years,11.1
Colorado,White,Male,2001,20-24 years,6.5
Colorado,White,Male,2001,25-34 years,8.8
Colorado,White,Male,2001,35-44 years,13.2
Colorado,White,Male,2001,45-54 years,8.6
Colorado,White,Male,2002,25-34 years,5.3
Colorado,White,Male,2002,35-44 years,14.9
Colorado,White,Male,2002,45-54 years,10.4
Colorado,White,Male,2003,20-24 years,7
Colorado,White,Male,2003,25-34 years,10.5
Colorado,White,Male,2003,35-44 years,12.8
Colorado,White,Male,2003,45-54 years,12.1
Colorado,White,Male,2004,20-24 years,8.2
Colorado,White,Male,2004,25-34 years,7.9
Colorado,White,Male,2004,35-44 years,14.8
Colorado,White,Male,2004,45-54 years,14.2
Colorado,White,Male,2005,20-24 years,6.9
Colorado,White,Male,2005,25-34 years,11
Colorado,White,Male,2005,35-44 years,18.3
Colorado,White,Male,2005,45-54 years,15.4
Colorado,White,Male,2006,20-24 years,9.4
Colorado,White,Male,2006,25-34 years,14.8
Colorado,White,Male,2006,35-44 years,17
Colorado,White,Male,2006,45-54 years,16.4
Colorado,White,Male,2007,20-24 years,9.4
Colorado,White,Male,2007,25-34 years,10.5
Colorado,White,Male,2007,35-44 years,14.8
Colorado,White,Male,2007,45-54 years,16.8
Colorado,White,Male,2008,20-24 years,11.3
Colorado,White,Male,2008,25-34 years,11.5
Colorado,White,Male,2008,35-44 years,11.8
Colorado,White,Male,2008,45-54 years,17.6
Colorado,White,Male,2009,20-24 years,15.6
Colorado,White,Male,2009,25-34 years,14.7
Colorado,White,Male,2009,35-44 years,10
Colorado,White,Male,2009,45-54 years,12.5
Colorado,White,Male,2010,20-24 years,11.2
Colorado,White,Male,2010,25-34 years,9
Colorado,White,Male,2010,35-44 years,11.3
Colorado,White,Male,2010,45-54 years,10.7
Colorado,White,Male,2011,20-24 years,17.2
Colorado,White,Male,2011,25-34 years,13.5
Colorado,White,Male,2011,35-44 years,13.1
Colorado,White,Male,2011,45-54 years,10.6
Colorado,White,Male,2012,20-24 years,10.2
Colorado,White,Male,2012,25-34 years,16.1
Colorado,White,Male,2012,35-44 years,12.7
Colorado,White,Male,2012,45-54 years,12.5
Colorado,White,Male,2013,20-24 years,18.9
Colorado,White,Male,2013,25-34 years,12.7
Colorado,White,Male,2013,35-44 years,9.5
Colorado,White,Male,2013,45-54 years,11.1
Colorado,White,Male,2014,20-24 years,11.5
Colorado,White,Male,2014,25-34 years,16.1
Colorado,White,Male,2014,35-44 years,12.2
Colorado,White,Male,2014,45-54 years,12.7
Colorado,White,Male,2015,20-24 years,10.2
Colorado,White,Male,2015,25-34 years,19.9
Colorado,White,Male,2015,35-44 years,11.1
Colorado,White,Male,2015,45-54 years,11.8
Colorado,White,Male,2016,20-24 years,12.4
Colorado,White,Male,2016,25-34 years,14.3
Colorado,White,Male,2016,35-44 years,16
Colorado,White,Male,2016,45-54 years,9.6
Connecticut,Black or African American,Male,2000,35-44 years,39.5
Connecticut,Black or African American,Male,2013,45-54 years,40.3
Connecticut,Black or African American,Male,2016,45-54 years,69.3
Connecticut,White,Female,1999,35-44 years,4.7
Connecticut,White,Female,2000,35-44 years,3.9
Connecticut,White,Female,2001,35-44 years,5.5
Connecticut,White,Female,2002,25-34 years,5.7
Connecticut,White,Female,2004,35-44 years,9.1
Connecticut,White,Female,2005,35-44 years,7.2
Connecticut,White,Female,2005,45-54 years,5.4
Connecticut,White,Female,2006,35-44 years,6.5
Connecticut,White,Female,2006,45-54 years,4.9
Connecticut,White,Female,2007,25-34 years,7
Connecticut,White,Female,2007,35-44 years,8.5
Connecticut,White,Female,2007,45-54 years,6
Connecticut,White,Female,2008,25-34 years,7.5
Connecticut,White,Female,2008,35-44 years,6.9
Connecticut,White,Female,2008,45-54 years,8
Connecticut,White,Female,2009,35-44 years,5.3
Connecticut,White,Female,2009,45-54 years,7.9
Connecticut,White,Female,2010,35-44 years,8.9
Connecticut,White,Female,2010,45-54 years,8.7
Connecticut,White,Female,2011,25-34 years,6.1
Connecticut,White,Female,2011,35-44 years,6.8
Connecticut,White,Female,2011,45-54 years,6.4
Connecticut,White,Female,2012,25-34 years,6.6
Connecticut,White,Female,2012,35-44 years,6.5
Connecticut,White,Female,2012,45-54 years,4.9
Connecticut,White,Female,2013,25-34 years,14.3
Connecticut,White,Female,2013,35-44 years,11.1
Connecticut,White,Female,2013,45-54 years,10.3
Connecticut,White,Female,2014,20-24 years,11.1
Connecticut,White,Female,2014,25-34 years,14.3
Connecticut,White,Female,2014,35-44 years,12
Connecticut,White,Female,2014,45-54 years,9.8
Connecticut,White,Female,2015,25-34 years,9.1
Connecticut,White,Female,2015,35-44 years,9.4
Connecticut,White,Female,2015,45-54 years,10.4
Connecticut,White,Female,2016,25-34 years,20.6
Connecticut,White,Female,2016,35-44 years,11.4
Connecticut,White,Female,2016,45-54 years,10.7
Connecticut,White,Male,1999,25-34 years,10.4
Connecticut,White,Male,1999,35-44 years,18.3
Connecticut,White,Male,1999,45-54 years,10.2
Connecticut,White,Male,2000,20-24 years,15.5
Connecticut,White,Male,2000,25-34 years,17.2
Connecticut,White,Male,2000,35-44 years,18.7
Connecticut,White,Male,2000,45-54 years,14.2
Connecticut,White,Male,2001,25-34 years,12.3
Connecticut,White,Male,2001,35-44 years,20.5
Connecticut,White,Male,2001,45-54 years,9.6
Connecticut,White,Male,2002,20-24 years,13.8
Connecticut,White,Male,2002,25-34 years,14.8
Connecticut,White,Male,2002,35-44 years,24.5
Connecticut,White,Male,2002,45-54 years,9.1
Connecticut,White,Male,2003,20-24 years,13.4
Connecticut,White,Male,2003,25-34 years,14.6
Connecticut,White,Male,2003,35-44 years,21.3
Connecticut,White,Male,2003,45-54 years,12.9
Connecticut,White,Male,2004,20-24 years,21.2
Connecticut,White,Male,2004,25-34 years,20.9
Connecticut,White,Male,2004,35-44 years,23
Connecticut,White,Male,2004,45-54 years,11.8
Connecticut,White,Male,2005,20-24 years,19.3
Connecticut,White,Male,2005,25-34 years,17.8
Connecticut,White,Male,2005,35-44 years,17.4
Connecticut,White,Male,2005,45-54 years,16.3
Connecticut,White,Male,2006,20-24 years,26.9
Connecticut,White,Male,2006,25-34 years,23.2
Connecticut,White,Male,2006,35-44 years,24.6
Connecticut,White,Male,2006,45-54 years,24.4
Connecticut,White,Male,2007,20-24 years,25.5
Connecticut,White,Male,2007,25-34 years,20.1
Connecticut,White,Male,2007,35-44 years,26.8
Connecticut,White,Male,2007,45-54 years,21.6
Connecticut,White,Male,2008,20-24 years,23
Connecticut,White,Male,2008,25-34 years,22.9
Connecticut,White,Male,2008,35-44 years,22.9
Connecticut,White,Male,2008,45-54 years,19
Connecticut,White,Male,2009,20-24 years,14.1
Connecticut,White,Male,2009,25-34 years,25.6
Connecticut,White,Male,2009,35-44 years,20.5
Connecticut,White,Male,2009,45-54 years,17.2
Connecticut,White,Male,2010,20-24 years,10.7
Connecticut,White,Male,2010,25-34 years,18.1
Connecticut,White,Male,2010,35-44 years,22.6
Connecticut,White,Male,2010,45-54 years,19.3
Connecticut,White,Male,2011,20-24 years,24.5
Connecticut,White,Male,2011,25-34 years,24.2
Connecticut,White,Male,2011,35-44 years,17.7
